อายุ,เพศ,สถานภาพสมรส,สถานะการมีบุตร,สัญชาติ,อาศัยอยู่ในจังหวัด,การศึกษา,กำลังศึกษาอยู่ในระดับชั้น,จบการศึกษาสูงสุดชั้น,ปัจจุบันฉันอาศัยอยู่กับ,ครอบครัวของฉันมีฐานะ,ครอบครัวของฉันมีลักษณะเฉพาะดังนี้,สิทธิที่ฉันมีในการรับบริการด้านสุขภาพ,ปัญหาใดที่มีผลต่อชีวิตวัยรุ่นมากที่สุด,"ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""ครู"" ที่ไว้ใจและสามารถขอคำปรึกษาเรื่องการมีความสัมพันธ์ทางเพศได้]","ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""บุคคลากรที่ไม่ใช่ครู"" ที่ไว้ใจและสามารถขอคำปรึกษาเรื่องการมีความสัมพันธ์ทางเพศได้]","ความพึงพอใจต่อการเรียนการสอนเรื่องเพศวิถีศึกษาในสังคมไทย[สถานศึกษามี ""การสอนเพศวิถีศึกษา""  ที่เหมาะสมกับเพศ วัย ตรงตามความต้องการ]",ฉันอยากเรียนรู้เรื่องต่อไปนี้ เพื่อให้เข้าใจเพศวิถีศึกษาอย่างรอบด้าน,สถานศึกษาของฉันสอนเกี่ยวกับเพศวิถีศึกษาจากมุมมองผลกระทบด้านลบของการมีเพศสัมพันธ์,การเลี้ยงดู ทัศนคติของพ่อแม่ผู้ปกครอง และชุมชน เน้นแต่ด้านลบของการมีเพศสัมพันธ์,ฉันรู้สึกมั่นใจที่สามารถปรึกษาพูดคุยเรื่องเพศสัมพันธ์กับพ่อแม่/ครอบครัวได้,ฉันสามารถมีเพศสัมพันธ์ที่ปลอดภัย เพื่อป้องกันการตั้งครรภ์และการติดโรคทางเพศสัมพันธ์ ได้,การบริการเรื่องอนามัยการเจริญพันธุ์ที่ควรได้รับการปรับปรุงเพิ่มเติม,เมื่อวัยรุ่นตั้งครรภ์ ฉันเห็นว่าควรได้รับสิทธิดังต่อไปนี้,หากมีเพื่อนตั้งครรภ์ ฉันมีความรู้สามารถให้คำแนะนำกับเพื่อนได้ว่าควรจะทำอย่างไร,หากฉัน(หรือคนรักของฉัน) ท้อง บุคคลแรกที่ฉันจะปรึกษาและขอคำแนะนำคือใคร,ฉันรู้สึกพึงพอใจการให้บริการอนามัยการเจริญพันธุ์ในพื้นที่ที่ฉันอยู่อาศัย,ทักษะที่จำเป็นสำหรับอนาคตของคนรุ่นของฉัน,ฉันคิดว่า ฉันได้รับการเตรียมทักษะที่ฉันต้องการเพียงพอ,ว่าจะเรียนรู้พัฒนาทักษะดังกล่าวได้ที่ไหน,อาชีพที่คุณอยากทำ
25,หญิง,โสด,มีบุตรแล้ว,สัญชาติไทย,เชียงใหม่,อุดมศึกษา,มหาวิทยาลัย,ปริญญาตรี,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,ประกันสังคม,อุบัติเหตุ;เรื่องเพศและสุขภาพทางเพศ;ยาเสพติด,น้อยที่สุด ,น้อยที่สุด ,น้อยที่สุด ,การคุมกำเนิด;2)สิทธิวัยรุ่น 3)สถานบริการที่ให้คำปรึกษาได้ในชุมชน ที่รักษาความลับความเป็นส่วนตัว,เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,เห็นด้วย,มีบริการนอกเวลาราชการ;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ,ใช่,เพื่อน,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะการสื่อสาร ได้แก่ ความเข้าใจภัยจากการใช้สื่อโซเชียลและอินเตอร์เนต การทำคลิปเพื่อสื่อสารในโซเชียล,ไม่พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;ผู้เชี่ยวชาญเฉพาะด้าน เช่น เชฟ นักดนตรี,กลุ่มไม่แสวงหาผลกำไร เช่น นักบวช อาสาสมัคร
18,หญิง,โสด,ยังไม่มีบุตร,สัญชาติไทย,ตรัง,สายสามัญ,,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,อยู่กับพ่อแม่ครอบครัวพร้อมหน้าพร้อมตา,สวัสดิการบุตรข้าราชการ/ข้าราชการบำนาญ,การกลั่นแกล้งในโลกออนไลน์;การทุจริต คอรัปชั่น;การศึ,ไม่มี ,น้อย ,มาก ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การคุมกำเนิด;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;สิทธิอนามัยการเจริญพันธุ์;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,ไม่แน่ใจ,ไม่แน่ใจ,ไม่แน่ใจ,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;มีบริการนอกเวลาราชการ;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้ความรู้ความเข้าใจที่ถูกต้องเรื่องวิธีการคุมกำเนิดในแบบต่างๆ;มีบริการถุงยางฟรี;ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก;มีการสื่อสารสาธารณะเชิงบวกเรื่องสุขภาพทางเพศ,ใช่,เพื่อน,ไม่แน่ใจ ว่าบริการอนามัยการเจริญพันธุ์ มีคุณภาพหรือไม่,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการสื่อสาร ได้แก่ ความเข้าใจภัยจากการใช้สื่อโซเชียลและอินเตอร์เนต การทำคลิปเพื่อสื่อสารในโซเชียล;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะทางการเงิน ได้แก่ การวางแผนการใช้เงิน การออม การลงทุน การเป็นเจ้าของกิจการ;ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ,พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;อินเตอร์เน็ต สื่อโซเชียล,กลุ่มผู้ประกอบการ นักลงทุน เจ้าของกิจการ
21,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,ตาก,สายอาชีพ,ปวส.,ปวช.,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,ประกันสุขภาพเอกชน,การเจ็บป่วย ปัญหาสุขภาพ;อุบัติเหตุ;ยาเสพติด,มาก ,น้อย ,ปานกลาง ,การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;สิทธิอนามัยการเจริญพันธุ์;การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง,เห็นด้วย,ไม่แน่ใจ,ไม่แน่ใจ,เห็นด้วย,มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง;มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,ญาติ,พอใจ,ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ;ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง,พอ,สถานศึกษา;สถาบัน หรือ หน่วยงานเฉพาะด้าน;เพื่อน ชุมชน ชมรม,กลุ่มผู้ประกอบการ นักลงทุน เจ้าของกิจการ
16,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,พังงา,การศึกษานอกโรงเรียน (กศน.),มัธยมปลาย,มัธยมต้น,ครอบครัว/พ่อแม่,พอช่วยเหลือคนอื่นได้,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า,ความรุนแรงในครอบครัว;เรื่องเพศและสุขภาพทางเพศ;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย,ปานกลาง ,น้อย ,น้อย ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;สิทธิอนามัยการเจริญพันธุ์;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว,ไม่แน่ใจ,เห็นด้วย,ไม่แน่ใจ,ไม่แน่ใจ,ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง;มีบริการนอกเวลาราชการ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,แม่,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม,ไม่พอ,สถาบัน หรือ หน่วยงานเฉพาะด้าน;สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล,กลุ่มผู้ประกอบการ นักลงทุน เจ้าของกิจการ
20,เพศทางเลือก,โสด,ยังไม่มีบุตร,สัญชาติไทย,ราชบุรี,สายสามัญ,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอช่วยเหลือคนอื่นได้,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;สวัสดิการบุตรข้าราชการ/ข้าราชการบำนาญ;ได้สิทธิประกันสุขภาพในมหาวิทยาลัย,รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย;เรื่องเพศและสุขภาพทางเพศ;การกลั่นแกล้งในโลกออนไลน์,,การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;สิทธิอนามัยการเจริญพันธุ์,ไม่แน่ใจ,เห็นด้วย,เห็นด้วย,ไม่แน่ใจ,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก,ใช่,แม่,พอใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต,ไม่พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;อินเตอร์เน็ต สื่อโซเชียล,กลุ่มข้าราชการ ทหาร ตำรวจ ครู,,
15,หญิง,โสด,ยังไม่มีบุตร,สัญชาติไทย,พังงา,สายสามัญ,มัธยมต้น,มัธยมต้น,ครอบครัว/พ่อแม่,พอมีพอกิน,ต้องอาศัยอยู่กับปู่ย่า/ตายาย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ประกันสังคม,การเจ็บป่วย ปัญหาสุขภาพ;อุบัติเหตุ;รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย,มาก ,มาก ,มาก ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การให้คำปรึกษาและรักษาข้อมูลส่วนตัว;สิทธิอนามัยการเจริญพันธุ์,เห็นด้วย,เห็นด้วย,เห็นด้วย,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล;ให้คำปรึกษา และบริการอนามัยเจริญพันธ์ที่ได้มาตรฐาน,เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก;มีการสื่อสารสาธารณะเชิงบวกเรื่องสุขภาพทางเพศ,ใช่,แม่,ไม่แน่ใจ ว่ามีบริการอนามัยการเจริญพันธุ์ ในพื้นที่ของฉัน,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต;ทักษะการสื่อสาร ได้แก่ ความเข้าใจภัยจากการใช้สื่อโซเชียลและอินเตอร์เนต การทำคลิปเพื่อสื่อสารในโซเชียล,พอ,อินเตอร์เน็ต สื่อโซเชียล;สถานศึกษา,กลุ่มอาชีพอิสระ เช่น นักแสดงนักร้อง นักดนตรี ศิลปินสร้างงานศิลปะ นักกีฬา เชพ นักแปล
21,ชาย,โสด,ยังไม่มีบุตร,สัญชาติไทย,สมุทรปราการ,สายสามัญ,มหาวิทยาลัย,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,ไม่มีข้อไหนเลย,ประกันสุขภาพเอกชน,รู้สึกโดดเดี่ยว มีภาวะซึมเศร้า และการฆ่าตัวตาย;ความสัมพันธ์กับคนรอบข้าง;ความรุนแรงในครอบครัว,,การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;การคุมกำเนิด;ความหลากหลายทางเพศ,เห็นด้วย,เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;มีบริการแก่วัยรุ่นในสถานที่อื่น ที่ไม่ใช่โรงพยาบาล,เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก;มีการสื่อสารสาธารณะเชิงบวกเรื่องสุขภาพทางเพศ,ใช่,เพื่อน,พอใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต,พอ,อินเตอร์เน็ต สื่อโซเชียล;ผู้เชี่ยวชาญเฉพาะด้าน เช่น เชฟ นักดนตรี;สถาบัน หรือ หน่วยงานเฉพาะด้าน,กลุ่มข้าราชการ ทหาร ตำรวจ ครู,,
19,เพศทางเลือก,โสด,ยังไม่มีบุตร,สัญชาติไทย,กระบี่,สายสามัญ,มหาวิทยาลัย,มัธยมปลาย,อาศัยอยู่คนเดียว,พอมีพอกิน,ไม่มีข้อไหนเลย,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ประกันสุขภาพเอกชน;ได้สิทธิประกันสุขภาพในมหาวิทยาลัย,เรื่องเพศและสุขภาพทางเพศ;การกลั่นแกล้งในโลกออนไลน์;การทุจริต คอรัปชั่น,น้อย ,ไม่มี ,น้อย ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การมีเพศสัมพันธ์ที่ปลอดภัย ไม่ท้อง ไม่ติดโรค;ความหลากหลายทางเพศ,ไม่แน่ใจ,ไม่เห็นด้วย,ไม่เห็นด้วย,ไม่เห็นด้วย,มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น;มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;ให้ความรู้ความเข้าใจที่ถูกต้องเรื่องวิธีการคุมกำเนิดในแบบต่างๆ,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่;มีมาตราการจากรัฐในการช่วยเหลือแม่วัยรุ่นหลังคลอดลูก;มีการสื่อสารสาธารณะเชิงบวกเรื่องสุขภาพทางเพศ,ใช่,ครู,ไม่แน่ใจ ว่าบริการอนามัยการเจริญพันธุ์ มีคุณภาพหรือไม่,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะทางการเงิน ได้แก่ การวางแผนการใช้เงิน การออม การลงทุน การเป็นเจ้าของกิจการ;ทักษะในการจัดการด้านอารมณ์ ความรู้สึก ได้แก่ สามารถสื่อสารความต้องการของตนเอง การจัดการความโกรธ การยอมรับความหลากหลายทางความคิดในสังคม;ทักษะการสื่อสาร ได้แก่ ความเข้าใจภัยจากการใช้สื่อโซเชียลและอินเตอร์เนต การทำคลิปเพื่อสื่อสารในโซเชียล;ทักษะการวางแผนชีวิต ได้แก่ การประเมินลักษะณะการทำงานในอนาคต,พอ,สถานศึกษา;อินเตอร์เน็ต สื่อโซเชียล;สถาบัน หรือ หน่วยงานเฉพาะด้าน,กลุ่มไม่แสวงหาผลกำไร เช่น นักบวช อาสาสมัคร
19,เพศทางเลือก,โสด,ยังไม่มีบุตร,สัญชาติไทย,พระนครศรีอยุธยา,สายสามัญ,,มัธยมปลาย,ครอบครัว/พ่อแม่,พอมีพอกิน,อยู่กับแม่เลี้ยงเดี่ยว,บัตรทอง หลักประกันสุขภาพถ้วนหน้า;ได้สิทธิประกันสุขภาพในมหาวิทยาลัย,อุบัติเหตุ;เรื่องเพศและสุขภาพทางเพศ;ความรุนแรงในครอบครัว,มาก ,มาก ,ปานกลาง ,การเรียนรู้การเปลี่ยนแปลงของร่างกาย เพื่อดูแล บำรุงได้อย่างถูกต้อง;การตัดสินใจเรื่องความสัมพันธ์ทางเพศ;ความหลากหลายทางเพศ,เห็นด้วย,ไม่เห็นด้วย,ไม่แน่ใจ,เห็นด้วย,มีการรักษาข้อมูลและความเป็นส่วนตัวโดยผู้ให้บริการ;มีบริการถุงยางฟรี;ให้ความรู้และคำแนะนำที่ทำให้วัยรุ่นสามารถตัดสินใจได้ด้วยตนเอง;มีช่องทางการสื่อสาร รับคำปรึกษา และรับข้อมูลในโซเชียลมีเดียที่เหมาะกับวัยรุ่น,เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนเดิม;เมื่อท้องในวัยเรียนต้องได้เรียนต่อในโรงเรียนอื่น;เพื่อนๆ และ บุคลากรในสถานศึกษาไให้ความการยอมรับ และความช่วยเหลือ;ทำให้วัยรุ่นมีความรู้ความเข้าใจเมื่อตั้งครรภ์ เพื่อให้วัยรุ่นสามารถตัดสินใจได้ว่าจะตั้งครรภ์ต่อหรือไม่,ใช่,ครู,พอใจ,ทักษะทางสังคม ได้แก่ การต่อรอง ความสามารถในการสื่อสาร การเข้าสังคม การทำงานเป็นทีม;ทักษะทางด้านสุขภาพ ได้แก่ การป้องกันโรค การสร้างเสริมสุขภาพ;ทักษะด้านสุขภาวะทางเพศ ได้แก่ ความสามารถในการตัดสินใจเรื่องเพศ การเคารพการตัดสินใจเรื่องเพศของผู้อื่น การไม่ล่วงละเมิดผู้อื่นในเรื่องเพศ การดูแลสุขภาพทางเพศของตัวเอง;ทักษะทางการเงิน ได้แก่ การวางแผนการใช้เงิน การออม การลงทุน การเป็นเจ้าของกิจการ,พอ,สถานศึกษา;พ่อแม่ ญาติ ครอบครัว;เพื่อน ชุมชน ชมรม;ผู้เชี่ยวชาญเฉพาะด้าน เช่น เชฟ นักดนตรี,กลุ่มข้าราชการ ทหาร ตำรวจ ครู
